User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag
USR06580,SES06580,add to cart,2025-10-21 01:46:53,,East,Email,Electronics,0.0,Yes
USR03977,SES03977,Checkout,2025-10-22 23:55:59,,,Organic,Electronics,0.0,Yes
USR05193,SES05193,Purchase,2025-10-03 22:04:22,Mobile,North,Email,Electronics,1487.84,No
USR06041,SES06041,Browse,2025-10-22 11:12:48,Mobile,South,Social Media,Fashion,0.0,Yes
USR06255,SES06255,ADD TO CART,2025-10-21 08:19:31,Mobile,West,Email,Sports,0.0,Yes
USR08984,SES08984,checkout,2025-10-12 01:00:02,Mobile,,Organic,Sports,0.0,No
USR05093,SES05093,BROWSE,2025-10-18 20:00:25,Mobile,,Google Ads,Sports,,No
USR04364,SES04364,Add to Cart,2025-10-20 22:32:26,Tablet,West,Organic,Beauty,0.0,Yes
USR00911,SES00911,ADD TO CART,2025-10-18 11:55:53,Tablet,South,Email,Sports,,Yes
USR06633,SES06633,Browse,10/20/2025,Desktop,South,Social Media,Beauty,0.0,Yes
USR01506,SES01506,Browse,2025-10-11 23:38:26,Desktop,West,Google Ads,Fashion,0.0,Yes
USR02529,SES02529,browse,2025-10-29 09:13:41,Tablet,North,Google Ads,Home,0.0,Yes
USR04978,SES04978,Browse,2025-10-28 14:20:16,Mobile,West,Google Ads,Fashion,,Yes
USR00125,SES00125,Add to Cart,2025-10-22 02:46:55,Mobile,East,Google Ads,Sports,999999.0,Yes
USR05451,SES05451,Browse,2025-10-06 00:22:53,Tablet,North,Email,Fashion,0.0,Yes
USR04464,SES04464,CHECKOUT,2025-10-13 10:40:28,,East,Google Ads  ,Fashion,0.0,Yes
USR07072,SES07072,Add to Cart,2025-10-29 00:49:31,Mobile,East,Email,Fashion,0.0,Yes
USR03578,SES03578,Add to Cart,2025-10-03 12:07:05,Desktop,East,Social Media,Electronics,0.0,No
USR07169,SES07169,Checkout,2025-10-08 05:26:18,Desktop,East,Google Ads,Fashion,0.0,Yes
USR06921,SES06921,ADD TO CART,2025-10-23 23:31:58,Tablet,West,Email  ,Electronics,0.0,Yes
USR01460,SES01460,Purchase,10/20/2025,Tablet,East,Google Ads  ,Electronics,,No
USR03757,SES03757,Purchase,2025-10-03 01:47:22,,East,Organic,Fashion,1278.3,No
USR08299,SES08299,Browse,2025-10-15 18:13:07,Desktop,,Social Media,Beauty,0.0,Yes
USR04378,SES04378,BROWSE,2025-10-25 12:25:49,Mobile,West,Social Media,Sports,0.0,Yes
USR00552,SES00552,Checkout,2025-10-16 06:47:58,Desktop,North,Google Ads,Beauty,0.0,Yes
USR00933,SES00933,Add to Cart,2025-10-03 18:37:48,Desktop,East,Organic,Electronics,0.0,Yes
USR07796,SES07796,Checkout,2025-10-19 03:09:03,Mobile,North,Organic,Beauty,999999.0,No
USR03916,SES03916,Add to Cart,2025-10-18 01:46:24,Desktop,West,Google Ads,Electronics,0.0,Yes
USR06959,SES06959,Add to Cart,2025-10-14 05:22:42,,East,Social Media,Sports,0.0,Yes
USR06784,SES06784,Browse,2025-10-25 12:44:43,Mobile,West,Google Ads,Electronics,0.0,Yes
USR07232,SES07232,Add to Cart,2025-10-22 12:18:48,Desktop,North,Email,Sports,0.0,Yes
USR05547,SES05547,Browse,2025-10-04 11:22:53,Desktop,South,Google Ads,Fashion,0.0,Yes
USR00778,SES00778,checkout,2025-10-26 19:00:19,Mobile,West,Email,Electronics,0.0,No
USR03357,SES03357,ADD TO CART,2025-10-19 12:21:04,Desktop,East,Social Media,Beauty,0.0,Yes
USR06264,SES06264,browse,2025-10-10 15:33:25,Mobile,South,Organic,Electronics,0.0,Yes
USR03787,SES03787,Checkout,2025-10-04 10:34:31,Mobile,North,Google Ads,Electronics,0.0,No
USR02384,SES02384,CHECKOUT,2025-10-05 06:15:25,Tablet,West,Google Ads,Electronics,0.0,No
USR01333,SES01333,PURCHASE,10/20/2025,Desktop,South,Email,Fashion,586.89,No
USR05884,SES05884,Add to Cart,2025-10-14 07:10:32,Tablet,North,Social Media,Electronics,0.0,Yes
USR04553,SES04553,BROWSE,2025-10-19 07:36:29,Tablet,West,Email,Sports,0.0,Yes
USR03707,SES03707,Checkout,2025-10-28 19:12:09,Mobile,East,Organic,Home,0.0,Yes
USR03943,SES03943,PURCHASE,2025-10-24 18:35:29,Desktop,North,Google Ads,Home,1623.3,No
USR03901,SES03901,add to cart,2025-10-25 05:16:11,,South,Social Media,Beauty,,Yes
USR06408,SES06408,add to cart,2025-10-23 08:16:11,Mobile,,Organic  ,Electronics,0.0,Yes
USR00479,SES00479,Add to Cart,2025-10-24 01:03:07,,East,Google Ads,Fashion,0.0,Yes
USR07926,SES07926,Purchase,2025-10-04 00:07:56,Tablet,East,Social Media,Beauty,988.76,No
USR09627,SES09627,checkout,2025-10-10 06:35:33,Tablet,West,Social Media,Beauty,0.0,Yes
USR05431,SES05431,BROWSE,10/20/2025,Desktop,,Google Ads,Beauty,0.0,Yes
USR00865,SES00865,Add to Cart,2025-10-22 06:41:53,Mobile,North,Google Ads,Beauty,,Yes
USR02395,SES02395,BROWSE,2025-10-02 07:40:13,Tablet,South,Organic,Beauty,0.0,Yes
USR02976,SES02976,add to cart,2025-10-09 12:50:08,Mobile,,Google Ads,Fashion,0.0,No
USR07448,SES07448,ADD TO CART,2025-10-23 02:11:47,Tablet,South,Organic,Beauty,0.0,Yes
USR01185,SES01185,Browse,2025-10-13 16:33:40,Tablet,South,Social Media,Beauty,0.0,Yes
USR02074,SES02074,Browse,2025-10-05 01:33:04,Tablet,East,Email,Fashion,0.0,Yes
USR06321,SES06321,checkout,2025-10-06 08:09:38,Mobile,South,Organic,Beauty,0.0,No
USR02243,SES02243,Add to Cart,2025-10-20 10:19:28,Mobile,East,Google Ads,Fashion,0.0,Yes
USR09872,SES09872,Browse,2025-10-02 11:11:44,Desktop,East,Google Ads,Electronics,0.0,Yes
USR05255,SES05255,browse,2025-10-08 03:33:41,Desktop,North,Email,Sports,0.0,No
USR05011,SES05011,Add to Cart,2025-10-13 14:08:33,Tablet,North,Google Ads,Sports,0.0,Yes
USR04140,SES04140,Browse,2025-10-12 00:07:46,Desktop,South,Email,Sports,0.0,Yes
USR01598,SES01598,add to cart,2025-10-24 20:33:49,,South,Email,Sports,0.0,Yes
USR01814,SES01814,BROWSE,2025-10-24 16:56:44,Tablet,South,Organic,Electronics,0.0,Yes
USR09148,SES09148,BROWSE,2025-10-23 17:00:15,Tablet,East,Google Ads,Sports,0.0,Yes
USR01334,SES01334,BROWSE,2025-10-09 10:22:44,Tablet,South,Email  ,Sports,0.0,Yes
USR03012,SES03012,add to cart,2025-10-10 19:36:39,Mobile,South,Social Media,Beauty,0.0,Yes
USR05920,SES05920,Purchase,2025-10-02 08:37:36,Mobile,South,Organic  ,Fashion,687.67,No
USR03634,SES03634,checkout,2025-10-21 11:38:22,Desktop,North,Social Media,Fashion,0.0,No
USR07730,SES07730,ADD TO CART,2025-10-06 13:43:13,Tablet,West,Email,Home,0.0,Yes
USR05618,SES05618,Add to Cart,2025-10-08 20:17:16,Tablet,West,Social Media,Sports,0.0,Yes
USR04156,SES04156,Browse,2025-10-22 07:26:58,Mobile,East,Email,Fashion,,Yes
USR05391,SES05391,Browse,2025-10-18 13:27:24,Mobile,West,Social Media,Beauty,0.0,Yes
USR01093,SES01093,Checkout,2025-10-18 12:44:47,Mobile,South,Organic,Fashion,0.0,Yes
USR02181,SES02181,Checkout,2025-10-23 08:00:07,Mobile,West,Social Media,Fashion,0.0,Yes
USR09766,SES09766,BROWSE,2025-10-12 16:22:22,Mobile,West,Email,Sports,0.0,No
USR05779,SES05779,BROWSE,2025-10-15 14:29:13,Desktop,East,Social Media,Beauty,0.0,Yes
USR01901,SES01901,Add to Cart,2025-10-09 21:25:23,Desktop,East,Organic,Electronics,0.0,Yes
USR09038,SES09038,BROWSE,2025-10-20 07:55:18,Desktop,East,Google Ads,Beauty,0.0,No
USR02126,SES02126,Add to Cart,2025-10-17 21:38:16,Tablet,South,Email,Sports,0.0,Yes
USR02484,SES02484,checkout,10/20/2025,Mobile,South,Organic,Electronics,0.0,No
USR08520,SES08520,BROWSE,2025-10-20 21:29:39,Mobile,West,Google Ads,Electronics,0.0,Yes
USR09541,SES09541,Add to Cart,2025-10-04 09:47:05,Desktop,North,Google Ads,Electronics,,Yes
USR06491,SES06491,BROWSE,2025-10-15 23:05:42,,East,Google Ads,Home,0.0,Yes
USR00660,SES00660,Browse,2025-10-19 23:37:28,Tablet,North,Social Media  ,Fashion,,Yes
USR02602,SES02602,browse,2025-10-06 13:13:03,Mobile,North,Email,Fashion,,Yes
USR09799,SES09799,Add to Cart,2025-10-03 08:28:40,Desktop,South,Google Ads,Beauty,0.0,Yes
USR07028,SES07028,ADD TO CART,2025-10-19 09:18:55,,South,Social Media,Electronics,,Yes
USR09253,SES09253,Browse,2025-10-04 09:23:41,Desktop,North,Social Media,Beauty,0.0,Yes
USR09224,SES09224,Add to Cart,2025-10-02 04:43:48,Tablet,,Google Ads,Electronics,0.0,Yes
USR04797,SES04797,Browse,2025-10-27 23:53:30,Mobile,South,Organic,Home,0.0,Yes
USR02621,SES02621,browse,2025-10-16 12:48:03,Mobile,East,Organic,Home,0.0,Yes
USR07336,SES07336,Browse,2025-10-28 07:41:57,Desktop,,Organic,Fashion,0.0,Yes
USR07625,SES07625,BROWSE,2025-10-17 22:08:55,,East,Google Ads,Electronics,0.0,No
USR08357,SES08357,Add to Cart,2025-10-08 18:12:42,Desktop,East,Google Ads,Sports,-99.99,Yes
USR01836,SES01836,ADD TO CART,2025-10-17 23:24:47,,North,Email,Sports,0.0,Yes
USR03336,SES03336,BROWSE,2025-10-28 21:28:37,Tablet,North,Google Ads,Home,0.0,Yes
USR08861,SES08861,Browse,2025-10-22 14:41:45,,South,Email,Home,0.0,Yes
USR06946,SES06946,Browse,2025-10-03 16:26:19,Mobile,North,Social Media,Fashion,0.0,Yes
USR06011,SES06011,BROWSE,2025-10-20 05:39:50,Desktop,East,Organic,Sports,0.0,Yes
USR03268,SES03268,Browse,2025-10-17 11:20:16,Tablet,West,Organic,Beauty,0.0,Yes
USR06486,SES06486,Add to Cart,2025-10-05 15:27:50,,West,Social Media,Electronics,0.0,Yes
USR07758,SES07758,Browse,2025-10-04 07:23:56,,East,Google Ads,Fashion,,Yes
USR02941,SES02941,Browse,2025-10-23 21:26:17,Mobile,West,Google Ads,Fashion,0.0,No
USR05276,SES05276,Browse,2025-10-03 10:45:28,Tablet,North,Social Media,Sports,0.0,Yes
USR02686,SES02686,Checkout,2025-10-13 09:14:57,Desktop,South,Email,Beauty,,No
USR09710,SES09710,Add to Cart,2025-10-21 05:05:47,Desktop,West,Email  ,Fashion,0.0,Yes
USR02896,SES02896,Browse,2025-10-13 11:53:48,Mobile,North,Organic,Home,0.0,Yes
USR06623,SES06623,BROWSE,2025-10-06 21:19:03,Desktop,West,Social Media,Beauty,0.0,Yes
USR06824,SES06824,Add to Cart,2025-10-07 14:51:06,Desktop,South,Google Ads,Sports,0.0,Yes
USR07377,SES07377,Add to Cart,2025-10-17 14:02:15,Tablet,South,Email,Fashion,,No
USR03066,SES03066,ADD TO CART,2025-10-16 01:45:30,Tablet,North,Google Ads,Sports,0.0,No
USR03031,SES03031,ADD TO CART,2025-10-23 04:40:36,Desktop,South,Organic,Electronics,0.0,Yes
USR09956,SES09956,Purchase,2025-10-13 13:32:48,Mobile,East,Email,Home,1617.55,No
USR02086,SES02086,Browse,2025-10-16 12:18:44,Mobile,West,Social Media,Fashion,,Yes
USR01100,SES01100,browse,2025-10-24 12:59:35,Tablet,North,Email  ,Electronics,0.0,Yes
USR02163,SES02163,browse,2025-10-12 19:51:15,Tablet,West,Google Ads,Home,0.0,No
USR02402,SES02402,Add to Cart,2025-10-14 02:27:14,Mobile,West,Email,Sports,0.0,Yes
USR03943,SES03943,CHECKOUT,2025-10-24 18:30:29,Tablet,East,Organic  ,Beauty,,No
USR02189,SES02189,browse,2025-10-23 01:41:31,Mobile,,Email  ,Electronics,0.0,Yes
USR03375,SES03375,browse,2025-10-27 18:02:22,Tablet,West,Organic,Electronics,0.0,Yes
USR00299,SES00299,purchase,2025-10-06 18:04:23,Mobile,West,Organic,Beauty,405.19,No
USR08463,SES08463,Add to Cart,2025-10-14 13:05:47,Tablet,East,Google Ads,Electronics,0.0,Yes
USR07688,SES07688,browse,2025-10-31 14:40:50,Tablet,East,Organic,Sports,0.0,Yes
USR08893,SES08893,purchase,2025-10-11 08:09:35,Tablet,West,Google Ads,Home,1640.06,No
USR09735,SES09735,Add to Cart,2025-10-18 12:55:26,Mobile,West,Google Ads  ,Electronics,,Yes
USR01982,SES01982,browse,2025-10-05 14:53:12,Desktop,West,Social Media,Home,0.0,No
USR06347,SES06347,BROWSE,2025-10-07 02:30:40,Desktop,West,Email,Electronics,0.0,Yes
USR09373,SES09373,Browse,2025-10-02 00:42:27,Tablet,,Social Media,Fashion,0.0,Yes
USR02838,SES02838,Add to Cart,2025-10-13 01:57:41,Tablet,South,Google Ads,Electronics,0.0,Yes
USR02158,SES02158,Checkout,2025-10-11 08:03:28,Mobile,East,Email,Fashion,0.0,Yes
USR06475,SES06475,Browse,2025-10-05 20:25:53,Desktop,South,Social Media,Sports,999999.0,Yes
USR07196,SES07196,Checkout,2025-10-22 00:40:48,Desktop,,Google Ads,Fashion,0.0,No
USR04735,SES04735,Add to Cart,2025-10-15 14:09:45,Mobile,,Social Media,Home,0.0,Yes
USR01928,SES01928,Add to Cart,2025-10-18 06:13:46,,West,Organic,Fashion,0.0,Yes
USR01635,SES01635,ADD TO CART,2025-10-18 17:12:35,Mobile,West,Email,Beauty,,No
USR03028,SES03028,Browse,2025-10-18 15:46:19,Tablet,East,Social Media,Electronics,0.0,Yes
USR05900,SES05900,Browse,2025-10-23 00:19:28,Mobile,South,Organic,Home,0.0,Yes
USR04749,SES04749,Add to Cart,2025-10-10 10:40:40,Tablet,,Organic  ,Beauty,0.0,Yes
USR01151,SES01151,CHECKOUT,2025-10-17 06:16:19,Tablet,South,Google Ads,Home,0.0,Yes
USR02217,SES02217,Checkout,2025-10-31 10:25:37,,West,Google Ads,Sports,0.0,No
USR02607,SES02607,browse,2025-10-13 08:05:33,,South,Google Ads,Beauty,,No
USR07959,SES07959,Browse,2025-10-24 06:30:34,,East,Social Media,Home,0.0,Yes
USR00389,SES00389,Add to Cart,2025-10-13 08:20:37,Desktop,East,Social Media,Beauty,0.0,Yes
USR01769,SES01769,Browse,2025-10-20 01:16:56,,South,Google Ads,Home,0.0,Yes
USR07084,SES07084,Checkout,2025-10-16 03:01:20,Mobile,East,Google Ads,Home,0.0,No
USR07103,SES07103,checkout,2025-10-02 20:07:49,,North,Social Media  ,Home,,Yes
USR09807,SES09807,BROWSE,2025-10-31 06:19:17,Desktop,West,Email,Sports,0.0,Yes
USR05486,SES05486,Browse,2025-10-12 17:53:57,Tablet,North,Social Media,Electronics,0.0,No
USR08932,SES08932,Checkout,2025-10-08 14:52:08,Desktop,South,Organic,Electronics,0.0,Yes
USR00745,SES00745,Browse,2025-10-25 05:27:39,Mobile,North,Google Ads,Beauty,0.0,Yes
USR08462,SES08462,Checkout,2025-10-17 11:19:31,Mobile,North,Organic,Sports,0.0,Yes
USR01319,SES01319,Add to Cart,2025-10-29 07:27:44,Mobile,South,Organic,Electronics,0.0,Yes
USR05245,SES05245,Checkout,2025-10-23 01:07:21,Mobile,West,Organic,Home,0.0,Yes
USR08233,SES08233,Add to Cart,10/20/2025,Desktop,East,Email,Sports,0.0,Yes
USR08870,SES08870,Checkout,2025-10-29 23:18:21,Mobile,East,Social Media,Home,0.0,No
USR06200,SES06200,Checkout,2025-10-12 18:26:30,Desktop,East,Social Media,Home,0.0,No
USR09560,SES09560,Browse,2025-10-22 02:54:22,Tablet,South,Social Media,Home,0.0,No
USR08956,SES08956,Browse,2025-10-18 21:04:01,Mobile,East,Organic,Home,0.0,Yes
USR00655,SES00655,browse,2025-10-30 00:28:58,Tablet,East,Google Ads,Sports,,Yes
USR04190,SES04190,Checkout,2025-10-30 15:38:34,Tablet,North,Email  ,Sports,,Yes
USR09734,SES09734,ADD TO CART,2025-10-23 00:30:03,Desktop,South,Organic,Electronics,0.0,Yes
USR06646,SES06646,Add to Cart,2025-10-15 03:59:54,Mobile,West,Social Media,Beauty,0.0,Yes
USR07499,SES07499,Browse,2025-10-11 14:38:58,Desktop,North,Social Media,Fashion,,Yes
USR07448,SES07448,BROWSE,2025-10-23 02:08:47,Mobile,South,Email,Home,0.0,Yes
USR00893,SES00893,Add to Cart,2025-10-06 10:54:25,Tablet,South,Email,Electronics,0.0,Yes
USR02247,SES02247,Purchase,2025-10-12 17:49:14,Desktop,West,Google Ads,Home,1097.32,No
USR09958,SES09958,Browse,2025-10-23 05:07:13,Tablet,South,Google Ads,Fashion,0.0,Yes
USR08786,SES08786,Browse,2025-10-10 21:14:54,Desktop,East,Organic,Fashion,,Yes
USR07829,SES07829,Purchase,2025-10-04 22:58:29,Tablet,East,Organic,Beauty,326.94,No
USR04200,SES04200,Browse,2025-10-24 17:24:48,Tablet,South,Google Ads,Beauty,0.0,Yes
USR06050,SES06050,Checkout,2025-10-25 23:12:00,Mobile,North,Google Ads,Electronics,0.0,Yes
USR08780,SES08780,Add to Cart,2025-10-24 00:13:46,Mobile,North,Organic,Sports,0.0,Yes
USR07563,SES07563,Browse,10/20/2025,Tablet,West,Social Media,Beauty,0.0,Yes
USR06599,SES06599,browse,2025-10-20 08:26:22,,North,Google Ads,Beauty,0.0,Yes
USR03700,SES03700,Browse,2025-10-05 14:37:37,,West,Social Media,Fashion,0.0,No
USR07586,SES07586,PURCHASE,2025-10-07 13:41:33,,,Google Ads,Electronics,1585.51,No
USR06421,SES06421,Checkout,2025-10-29 11:35:08,Tablet,North,Social Media,Beauty,0.0,Yes
USR07380,SES07380,add to cart,2025-10-07 19:02:01,Desktop,North,Organic,Beauty,0.0,Yes
USR00428,SES00428,browse,2025-10-02 08:34:58,Mobile,West,Organic  ,Beauty,0.0,Yes
USR03255,SES03255,Add to Cart,2025-10-03 14:19:01,Mobile,North,Organic,Electronics,0.0,Yes
USR06706,SES06706,Browse,2025-10-28 01:44:16,Desktop,West,Google Ads,Sports,0.0,Yes
USR07326,SES07326,browse,2025-10-15 09:01:37,Mobile,South,Organic,Home,0.0,Yes
USR09979,SES09979,BROWSE,2025-10-11 04:02:57,Tablet,East,Social Media,Home,0.0,No
USR04456,SES04456,browse,2025-10-09 07:57:02,,West,Organic,Fashion,0.0,Yes
USR01885,SES01885,PURCHASE,2025-10-08 15:40:12,Mobile,East,Organic,Fashion,595.35,No
USR07609,SES07609,Browse,10/20/2025,,North,Email,Beauty,0.0,Yes
USR01923,SES01923,BROWSE,2025-10-22 22:47:02,,East,Email,Sports,0.0,Yes
USR09675,SES09675,Browse,2025-10-18 11:04:43,Tablet,North,Social Media,Beauty,-99.99,Yes
USR04923,SES04923,add to cart,2025-10-31 08:41:45,Mobile,South,Organic,Home,0.0,Yes
USR05587,SES05587,Browse,2025-10-17 10:36:41,Desktop,West,Organic,Home,0.0,Yes
USR00443,SES00443,Browse,2025-10-22 19:23:44,Tablet,,Google Ads,Electronics,0.0,Yes
USR02840,SES02840,ADD TO CART,2025-10-09 15:05:27,Tablet,North,Social Media,Electronics,0.0,Yes
USR09047,SES09047,Browse,2025-10-21 17:39:56,Mobile,West,Social Media,Electronics,,Yes
USR08171,SES08171,Browse,2025-10-14 23:51:14,Desktop,West,Social Media,Sports,-99.99,No
USR01468,SES01468,Browse,2025-10-10 16:41:31,Tablet,,Social Media,Home,0.0,Yes
USR01233,SES01233,checkout,2025-10-03 00:42:09,Tablet,East,Social Media,Beauty,,Yes
USR09635,SES09635,BROWSE,2025-10-09 06:05:32,Mobile,South,Google Ads,Fashion,0.0,Yes
USR03782,SES03782,Browse,2025-10-04 13:30:08,Tablet,East,Social Media,Home,0.0,Yes
USR06178,SES06178,Browse,2025-10-14 11:03:55,Desktop,North,Google Ads,Electronics,0.0,Yes
USR00894,SES00894,Browse,2025-10-23 00:05:41,Desktop,South,Email,Fashion,0.0,Yes
USR01542,SES01542,CHECKOUT,2025-10-22 15:54:16,Mobile,North,Organic,Beauty,0.0,Yes
USR08180,SES08180,Browse,2025-10-13 12:10:12,Mobile,North,Google Ads  ,Fashion,0.0,Yes
USR05683,SES05683,Add to Cart,2025-10-08 02:46:26,Tablet,East,Email,Beauty,0.0,Yes
USR03825,SES03825,Browse,2025-10-29 09:05:31,Tablet,West,Email,Sports,0.0,Yes
USR03594,SES03594,Browse,2025-10-24 22:11:40,Tablet,North,Organic,Beauty,0.0,Yes
USR02095,SES02095,Purchase,2025-10-14 09:04:17,Tablet,,Organic,Beauty,230.41,No
USR00189,SES00189,Browse,2025-10-07 10:08:51,Desktop,East,Organic,Sports,0.0,Yes
USR08080,SES08080,Purchase,2025-10-30 01:14:09,Mobile,,Google Ads,Home,1171.12,No
USR05973,SES05973,Browse,2025-10-03 02:38:45,Tablet,West,Social Media,Electronics,0.0,Yes
USR04311,SES04311,Add to Cart,2025-10-15 08:19:52,,East,Email,Home,0.0,Yes
USR09390,SES09390,Add to Cart,2025-10-29 03:29:40,Mobile,North,Organic,Sports,0.0,Yes
USR02782,SES02782,Checkout,2025-10-13 05:27:05,Desktop,South,Google Ads,Fashion,0.0,Yes
USR05577,SES05577,Add to Cart,2025-10-06 23:19:34,Desktop,East,Organic,Home,0.0,Yes
USR05797,SES05797,purchase,2025-10-09 17:10:05,Desktop,North,Social Media,Fashion,928.11,No
USR09010,SES09010,Add to Cart,2025-10-21 16:24:05,Mobile,West,Organic,Beauty,0.0,Yes
USR05544,SES05544,add to cart,2025-10-14 12:36:44,Tablet,North,Social Media,Fashion,0.0,Yes
USR04028,SES04028,BROWSE,2025-10-17 05:40:37,Mobile,North,Email,Sports,0.0,Yes
USR07031,SES07031,BROWSE,2025-10-25 23:00:18,Tablet,East,Organic,Beauty,,Yes
USR00351,SES00351,BROWSE,2025-10-19 16:33:20,Tablet,,Organic,Beauty,,Yes
USR03083,SES03083,browse,2025-10-09 22:30:19,Tablet,,Social Media,Sports,0.0,Yes
USR03810,SES03810,Browse,2025-10-25 14:52:34,Desktop,North,Social Media,Sports,0.0,Yes
USR02893,SES02893,CHECKOUT,2025-10-22 14:28:07,Mobile,South,Social Media  ,Home,0.0,Yes
USR08932,SES08932,browse,10/20/2025,Tablet,West,Organic,Beauty,0.0,Yes
USR07418,SES07418,browse,2025-10-12 14:17:21,Mobile,South,Email,Electronics,0.0,Yes
USR08791,SES08791,Add to Cart,2025-10-13 19:45:33,Desktop,West,Organic,Fashion,0.0,Yes
USR07764,SES07764,Add to Cart,2025-10-12 17:18:41,Tablet,West,Social Media,Fashion,0.0,Yes
USR05760,SES05760,CHECKOUT,2025-10-12 12:01:12,Tablet,East,Email  ,Home,0.0,Yes
USR04513,SES04513,Add to Cart,2025-10-25 11:28:06,Desktop,South,Social Media  ,Fashion,0.0,Yes
USR00493,SES00493,Add to Cart,2025-10-23 17:09:14,Tablet,West,Google Ads,Sports,0.0,Yes
USR00596,SES00596,Browse,2025-10-02 07:33:46,Desktop,West,Google Ads,Sports,0.0,Yes
USR04634,SES04634,Browse,2025-10-10 14:39:51,Tablet,East,Social Media,Electronics,0.0,Yes
USR06279,SES06279,ADD TO CART,2025-10-11 09:26:19,,South,Email,Sports,0.0,Yes
USR06170,SES06170,Browse,2025-10-21 22:22:57,Desktop,North,Email  ,Home,,Yes
USR03618,SES03618,Checkout,2025-10-08 23:05:30,Tablet,North,Social Media,Beauty,0.0,Yes
USR05056,SES05056,BROWSE,2025-10-03 01:45:30,Mobile,East,Social Media  ,Beauty,0.0,Yes
USR05141,SES05141,add to cart,2025-10-03 01:50:39,Desktop,North,Organic,Beauty,,No
